# Constructed from biom file
#OTU ID	FL1	FL2	FL3	FL4	FL5	FL6	FR1	FR2	FR3	FR4	FR5	FR6	GL1	GL2	GL3	GL4	GL5	GL6	GR1	GR2	GR3	GR4	GR5	GR6	HL1	HL2	HL3	HL4	HL5	HL6	HR1	HR2	HR3	HR4	HR5	HR6	LB1	LB2	LB3	LB4	LB5	LB6	LY1	LY2	LY3	LY4	LY5	LY6	RB1	RB2	RB3	RB4	RB5	RB6	RY1	RY2	RY3	RY4	RY5	RY6	SL1	SL2	SL3	SL4	SL5	SL6	SR1	SR2	SR3	SR4	SR5	SR6
8195a1f70c2870317c4f91b532478d33	3003.0	2048.0	5289.0	1229.0	1499.0	17687.0	6722.0	6143.0	8806.0	24363.0	11503.0	25053.0	1733.0	388.0	3037.0	1281.0	2423.0	0.0	86.0	614.0	374.0	10780.0	278.0	7306.0	2272.0	755.0	10263.0	2160.0	7532.0	1593.0	2908.0	2747.0	8019.0	9507.0	10554.0	10752.0	11413.0	7612.0	32299.0	14044.0	7043.0	10695.0	683.0	10790.0	2442.0	9560.0	1454.0	4490.0	46165.0	3088.0	1696.0	1327.0	2060.0	296.0	5113.0	9122.0	5990.0	1025.0	549.0	10342.0	538.0	267.0	83.0	177.0	187.0	1102.0	909.0	428.0	429.0	1326.0	1335.0	1856.0
4bae0ab2637d7709616476c5311975b4	442.0	227.0	203.0	481.0	261.0	0.0	4773.0	3750.0	2561.0	5029.0	141.0	3484.0	0.0	81.0	111.0	156.0	251.0	147.0	91.0	106.0	0.0	2389.0	8.0	6358.0	0.0	0.0	351.0	286.0	389.0	288.0	655.0	415.0	6386.0	8913.0	7632.0	7642.0	11875.0	2302.0	24644.0	4015.0	8807.0	11760.0	3667.0	10364.0	1163.0	7320.0	3217.0	23767.0	5563.0	3079.0	1699.0	769.0	1487.0	1994.0	2338.0	11182.0	11471.0	7090.0	3674.0	9185.0	110.0	76.0	77.0	52.0	599.0	842.0	480.0	274.0	566.0	1125.0	529.0	1055.0
7c5b73657686ec3713e3c590f9318dda	467.0	166.0	0.0	298.0	184.0	0.0	1767.0	1229.0	1199.0	3564.0	610.0	4465.0	362.0	367.0	50.0	172.0	104.0	0.0	199.0	550.0	65.0	597.0	160.0	688.0	232.0	474.0	66.0	433.0	74.0	227.0	970.0	872.0	2092.0	2577.0	4652.0	3616.0	14505.0	22847.0	178.0	2384.0	0.0	917.0	9805.0	3028.0	2629.0	2943.0	6032.0	647.0	951.0	656.0	489.0	707.0	135.0	486.0	1073.0	6378.0	458.0	984.0	185.0	3560.0	122.0	105.0	156.0	114.0	694.0	1144.0	156.0	458.0	571.0	852.0	1746.0	1048.0
3c0adae99d0f48b629f75661fe7a3470	0.0	0.0	0.0	0.0	0.0	0.0	8409.0	5291.0	12158.0	4738.0	1258.0	5055.0	0.0	0.0	0.0	0.0	0.0	0.0	1180.0	3054.0	6803.0	3286.0	0.0	2259.0	0.0	0.0	0.0	0.0	0.0	0.0	20018.0	29064.0	862.0	761.0	1591.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	12.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	0.0	296.0	2511.0	1222.0	1819.0
4807055b51e7e5d9639d7e1650af8c0e	433.0	56.0	124.0	70.0	0.0	213.0	1505.0	661.0	1061.0	344.0	863.0	540.0	477.0	23.0	2915.0	0.0	0.0	0.0	94.0	289.0	76.0	140.0	0.0	244.0	0.0	0.0	0.0	0.0	0.0	55.0	2922.0	2415.0	302.0	782.0	1624.0	579.0	5473.0	3710.0	997.0	8693.0	234.0	5537.0	12868.0	12705.0	8501.0	13075.0	8994.0	3990.0	503.0	0.0	84.0	123.0	112.0	414.0	56.0	130.0	265.0	865.0	0.0	0.0	217.0	0.0	26.0	53.0	0.0	0.0	60.0	37.0	208.0	43.0	0.0	75.0
38c72bc17d2ae399538bbce467f584ea	44.0	7.0	159.0	23.0	0.0	0.0	1395.0	1114.0	1457.0	3756.0	1247.0	4281.0	0.0	39.0	0.0	0.0	0.0	0.0	282.0	921.0	225.0	19601.0	8.0	11280.0	297.0	0.0	0.0	0.0	0.0	0.0	3591.0	3310.0	5193.0	3750.0	7526.0	4601.0	380.0	1065.0	216.0	341.0	0.0	297.0	1501.0	196.0	639.0	323.0	487.0	93.0	79.0	347.0	100.0	105.0	57.0	216.0	0.0	179.0	0.0	497.0	99.0	695.0	0.0	0.0	0.0	12.0	143.0	218.0	1155.0	0.0	1068.0	662.0	793.0	457.0
2a76ef6ed7c685075e3edd57de2059db	1665.0	682.0	2076.0	344.0	3673.0	2846.0	748.0	977.0	460.0	306.0	1175.0	497.0	3886.0	500.0	1334.0	1696.0	1324.0	2330.0	318.0	345.0	596.0	761.0	986.0	568.0	2415.0	3658.0	2691.0	4265.0	1902.0	1457.0	219.0	65.0	2654.0	508.0	240.0	530.0	79.0	0.0	10.0	497.0	53.0	181.0	0.0	0.0	0.0	52.0	0.0	215.0	157.0	1356.0	725.0	1191.0	869.0	910.0	1520.0	43.0	486.0	341.0	1615.0	397.0	4385.0	1640.0	201.0	362.0	1983.0	2174.0	1885.0	2250.0	2444.0	484.0	349.0	299.0
e4a9794f28c23e74bdbbcadfd7415e4e	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240.0	257.0	671.0	268.0	3541.0	6814.0	220.0	4476.0	56.0	509.0	4505.0	9482.0	19201.0	8686.0	3458.0	706.0	0.0	0.0	0.0	0.0	0.0	598.0	94.0	2602.0	471.0	1018.0	102.0	2288.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45cfa55182dae2fb0ba935f5e155d7d5	75.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	65.0	0.0	118.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	38245.0	10942.0	0.0	0.0	0.0	0.0	6013.0	6734.0	0.0	0.0	31.0	0.0	0.0	71.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	17.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ae1dbcc101e1bfae88cb48f35626b6c3	0.0	0.0	0.0	0.0	0.0	0.0	838.0	368.0	922.0	91.0	271.0	397.0	273.0	18.0	27.0	0.0	0.0	0.0	7722.0	35603.0	8780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	223.0	67.0	100.0	47.0	98.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	40.0	47.0
