# Constructed from biom file
#OTU ID	SRR2061489	SRR2061490	SRR2061491	SRR2061492	SRR2061493	SRR2061508	SRR2061509	SRR2061510	SRR2061511	SRR2061512	SRR2061513	SRR2061518	SRR2061528	SRR2061538	SRR2061539	SRR2061540	SRR2061541	SRR2061542	SRR2061543	SRR2061558	SRR2061564	SRR2061565	SRR2061566	SRR2061567	SRR2061568	SRR2061569	SRR2061570	SRR2061571	SRR2061572	SRR2061573	SRR2061574	SRR2061575	SRR2061576	SRR2061577	SRR2061578	SRR2061604	SRR2061605	SRR2061606	SRR2061607	SRR2061608	SRR2061609	SRR2061610	SRR2061611	SRR2061612	SRR2061613	SRR2061614	SRR2061615	SRR2061616	SRR2061617	SRR2061618	SRR2061624	SRR2061625	SRR2061626	SRR2061627	SRR2061628	SRR2061639	SRR2061640	SRR2061641	SRR2061642	SRR2061643	SRR2061659	SRR2061660	SRR2061661	SRR2061662	SRR2061663	SRR2061664	SRR2061665	SRR2061666	SRR2061667	SRR2061668	SRR2061679	SRR2061680	SRR2061681	SRR2061682
9828cf7d49fa36061c0ad101e66b1eac	33743.0	511.0	1630.0	163.0	11298.0	0.0	2404.0	32.0	728.0	0.0	672.0	527.0	135.0	757.0	17580.0	1443.0	2433.0	486.0	758.0	5132.0	10095.0	3451.0	3284.0	1311.0	5334.0	4800.0	4076.0	346.0	220.0	356.0	50183.0	4556.0	5643.0	555.0	20045.0	23887.0	644.0	1051.0	565.0	1245.0	25162.0	16904.0	13423.0	16125.0	18914.0	12118.0	8188.0	1402.0	6468.0	5137.0	688.0	0.0	379.0	136.0	923.0	4363.0	277.0	5000.0	1004.0	9551.0	1652.0	474.0	774.0	613.0	1919.0	18781.0	594.0	899.0	57.0	1456.0	27841.0	0.0	2351.0	313.0
ac1baf03311248c42945967069e7b139	29206.0	543.0	1468.0	0.0	9745.0	65.0	2118.0	0.0	637.0	61.0	607.0	494.0	0.0	801.0	15658.0	1283.0	2148.0	528.0	691.0	4579.0	9031.0	2988.0	3777.0	1083.0	4829.0	4342.0	3759.0	270.0	208.0	365.0	43166.0	4112.0	5188.0	556.0	17488.0	21014.0	491.0	1042.0	488.0	1055.0	21867.0	14838.0	11684.0	14159.0	16353.0	10761.0	7182.0	1175.0	6007.0	4741.0	635.0	169.0	317.0	143.0	791.0	3998.0	314.0	4570.0	946.0	8679.0	1536.0	462.0	647.0	612.0	1752.0	16580.0	530.0	798.0	0.0	1124.0	23921.0	46.0	2221.0	247.0
325a8465a94cb0bb7f1ea135823a1fd4	0.0	0.0	32.0	0.0	0.0	0.0	178.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	43.0	244.0	272.0	0.0	0.0	66.0	213.0	107.0	0.0	0.0	0.0	154.0	487.0	230.0	128.0	880.0	63.0	0.0	0.0	0.0	0.0	5.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	77.0	0.0	0.0	60.0	188.0	0.0	0.0	0.0	30.0	174.0	2576.0	1606.0	14426.0	0.0	24094.0	7158.0	0.0	10692.0	11035.0
e452ef7c7bc6dff757a3d64758cde0c3	0.0	0.0	0.0	0.0	333.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2651.0	0.0	455.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41613.0	0.0	882.0	271.0	2179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6732.0	0.0	0.0	0.0
52c3e492f26efe0f041be560d4b6852a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2010.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6821.0	253.0	147.0	347.0	305.0	17081.0	3131.0	4417.0	3061.0	6160.0	274.0	0.0	0.0	0.0	331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.0	0.0	0.0	0.0	0.0
d77f4365e23d653dd6d859703d079418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1919.0	0.0	361.0	5441.0	775.0	0.0	0.0	0.0	0.0	0.0	12131.0	8636.0	1877.0	0.0	7976.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e459563c3e040b2316f6a37e15dac08f	0.0	0.0	0.0	0.0	117.0	123.0	0.0	0.0	0.0	0.0	0.0	193.0	0.0	2153.0	115.0	0.0	189.0	0.0	64.0	390.0	0.0	111.0	9.0	0.0	0.0	243.0	226.0	178.0	0.0	196.0	786.0	218.0	377.0	0.0	1402.0	0.0	0.0	0.0	0.0	0.0	1984.0	3619.0	1836.0	3063.0	3642.0	125.0	320.0	70.0	0.0	211.0	926.0	0.0	0.0	98.0	285.0	126.0	117.0	213.0	289.0	672.0	0.0	0.0	0.0	0.0	206.0	282.0	0.0	190.0	0.0	368.0	125.0	0.0	45.0	0.0
a0c2ec39919dcb45acab45c074fc88ed	111.0	0.0	119.0	0.0	0.0	0.0	227.0	0.0	474.0	0.0	0.0	0.0	531.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15798.0	127.0	2739.0	424.0	595.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	701.0	196.0	301.0	240.0	723.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
836c98fa00b63ccbbead4a411bebeb67	0.0	0.0	0.0	0.0	61.0	0.0	770.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.0	74.0	0.0	0.0	43.0	87.0	178.0	0.0	88.0	0.0	59.0	124.0	84.0	84.0	49.0	462.0	0.0	285.0	180.0	174.0	607.0	151.0	0.0	110.0	193.0	0.0	6999.0	1891.0	462.0	1262.0	3642.0	674.0	0.0	0.0	0.0	146.0	248.0	0.0	0.0	25.0	686.0	229.0	251.0	547.0	159.0	421.0	0.0	0.0	0.0	0.0	130.0	18.0	0.0	0.0	0.0
8e25dafb878e0ea07a4d07ad92e7caf3	0.0	0.0	0.0	0.0	149.0	73.0	0.0	0.0	383.0	0.0	1266.0	84.0	0.0	0.0	0.0	0.0	0.0	161.0	452.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	476.0	0.0	308.0	118.0	0.0	0.0	189.0	0.0	4113.0	229.0	340.0	0.0	0.0	1796.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	459.0	0.0	198.0	0.0	0.0	146.0	391.0	253.0	515.0	0.0	495.0	541.0	0.0	2328.0	2931.0
