# Constructed from biom file
#OTU ID	SRR5098332	SRR5098333	SRR5098339	SRR5098340	SRR5098341	SRR5098343	SRR5098346	SRR5098347	SRR5098348	SRR5098349	SRR5098351	SRR5098354	SRR5098355	SRR5098356	SRR5098357	SRR5098359	SRR5098360	SRR5098361	SRR5098363	SRR5098364	SRR5098366	SRR5098367	SRR5098368	SRR5098369	SRR5098370	SRR5098371	SRR5098372	SRR5098373	SRR5098374	SRR5098375	SRR5098376	SRR5098377	SRR5098378	SRR5098379	SRR5098380	SRR5098382	SRR5098383	SRR5098384	SRR5098385	SRR5098386	SRR5098388	SRR5098389	SRR5098390	SRR5098392	SRR5098393	SRR5098394	SRR5098395	SRR5098396	SRR5098397	SRR5098398	SRR5098400	SRR5098401	SRR5098402	SRR5098403	SRR5098404	SRR5098406	SRR5098407	SRR5098408	SRR5098409	SRR5098410	SRR5098411	SRR5098413	SRR5098415	SRR5098416	SRR5098417
87cd4e9f3408dab14eb5ad2628888b7e	33.0	646.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16477.0	0.0	0.0	0.0	0.0	9239.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0	52133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70199.0	0.0	4016.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
301fb052937340235e7a792b2c9c9387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161713.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0229a5c7f887dad960b40a0505cf9776	2181.0	6487.0	0.0	1034.0	0.0	0.0	9653.0	0.0	2.0	0.0	633.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	16191.0	804.0	0.0	364.0	0.0	0.0	7321.0	990.0	1684.0	0.0	0.0	0.0	0.0	0.0	0.0	502.0	288.0	0.0	0.0	0.0	2532.0	105.0	0.0	0.0	0.0	0.0	0.0	704.0	0.0	1827.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1905.0
315e5140c4f22d5f5f31d2535e483c73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32916.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a869fe6a3c43e3b475957e976866ef0d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17517.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	356.0	0.0	0.0	0.0	0.0	929.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	644.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3744.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2c2e30bac3f37465fc337eda4fc82b19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18157.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c6e695360da1e78833169ebcd105be3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4172.0	0.0	0.0	0.0	0.0	2803.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	612.0	0.0	0.0	0.0	0.0	0.0	3155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7757.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e304083e3ec9691e530720a70d3c31d3	0.0	0.0	0.0	0.0	0.0	0.0	1115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8689.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5251b2be20306ba5b84196e5080f01c6	0.0	0.0	1394.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	379.0	0.0	0.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	308.0	6789.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eaa0f5d330e6a68d00fb9c2925ad7320	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
