class	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1
subject_id	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
Chaetomium	0.07460019	0	0.099972139	0.01578532	0.051340293	0.044776335	0.068086339	0	0.417412045	0.054246374	0.584465618	0.370081244	0.489161473	0.342966892	0.43378288	0.40481204	0.385797424	0.397919591	0.547358008	0.593387388	0.472596106	0.562407499	0.445108678	0.508985488	0.540276648	0.479986983	0.49160112	0.53654485	0.586245772	0.677215745	0.164381909	0.062311119	0.059128738	0.088008449	0.042351347	0.085828169	0	0.093934514	0.048683963	0	0.546184739	0.362307326	0.393931001	0.550177221	0.548753826	0.596408441	0.561517345	0.566090422	0.613382268	0.543811588	0.51853439	0.478846818	0.183351669	0.490613784	0.286806883	0.333593584	0.448722866	0	0.393476818	0.353695073	0.44342211	0.449573436	0.467375704	0.262752242	0.476707415	0.320563559	0.152637928	0.538725796	0.470863748	0.250073551
Chaetosphaeria	0	0.021939768	0.022944425	0	0	0.014443979	0.018832392	0	0.065593321	0	0.060137941	0.098302831	0.091872967	0.098317176	0.071753559	0.117526076	0	0.107322711	0.103866128	0.107703875	0.11021676	0.141424108	0.107215959	0.146600998	0.11716843	0.13667426	0.116651113	0.106312292	0.065593933	0.092048742	0.030161818	0	0.031042587	0	0	0.013092433	0	0	0	0	0.075731497	0.092165899	0.08309482	0.074062318	0.133362484	0.067177874	0.135180101	0.088848273	0.081557753	0.122664268	0.154274695	0.098731303	0.097787557	0.095540579	0.095602294	0	0.074787144	0	0.109035745	0.070739015	0.144112186	0.077878863	0.106723586	0.049047085	0.066078256	0.114769669	0.07139516	0.156152405	0.114601759	0.047072668
Chloridium	0.447601138	0.374438708	0.758804923	0.041041831	0.351603217	0.186327329	0.299869622	0.124930814	2.573047108	0.212199052	2.715603916	2.859455865	3.468825268	3.175873422	3.166941178	3.116073323	3.303799124	3.125567572	3.041793752	2.75356134	3.602084099	3.427067916	2.798986322	3.383353374	3.090317331	3.719492353	3.542860952	3.357142857	2.500768679	2.465591304	1.304498635	0.252360034	0.761282502	0.552052997	0.167711333	0.302580664	0.368866479	0.697799249	0.171179094	0.117973514	2.531267929	3.629429525	2.64672391	2.219224462	3.253170092	3.32940097	2.907412029	2.58421547	3.090699018	2.604571288	3.321191343	3.559263464	2.658599193	2.809409456	2.080074164	3.534672439	2.719183861	0.354503607	3.304257135	2.700565912	3.857772358	3.182413537	3.672763405	1.629063901	2.949922122	2.25186006	1.725793348	3.259681449	3.737013877	1.697558105
Cladophialophora	0.004662512	0	0	0	0	0	0	0	0.029815146	0	0.071413805	0.060716454	0	0.018291568	0.019569152	0.00979384	0.05721572	0.014860068	0.023081362	0.050803715	0.020039411	0.039467193	0.043861074	0.02964964	0.058584215	0.035795639	0.029996001	0.023255814	0.061494312	0.070132375	0	0	0	0	0	0.004364144	0	0.016401264	0.006281802	0	0.103270224	0.034959479	0.08309482	0.050256573	0.015303892	0.077008782	0.087347143	0.030462265	0.076460394	0.032710471	0	0.039492521	0.048893778	0.015493067	0.023176314	0	0.007670476	0	0	0.041611185	0	0	0.025760866	0	0	0	0.004923804	0	0.06726625	0
Cladosporium	28.64647281	84.3028273	1.219332317	3.240726125	4.242575105	88.75391793	86.15674344	14.65011465	0.250447227	14.97359478	0.19732762	0.179258103	0.166364562	0.102890068	0.145137881	0.155069128	0.153665076	0.173367456	0.558898689	0.142250401	0.151965532	0.174313435	0.099093538	0.161425818	0.159479251	0.084607875	0.158312225	0.112956811	0.15578559	0.177522574	67.75098403	36.07969592	74.55690402	23.66467181	23.36269693	87.44872131	80.610712	68.23671498	15.19567812	13.13826164	0.142283419	0.069918958	0.187732742	0.177220547	0.159597726	0.167125442	0.133100408	0.185312111	0.205593503	0.181951997	0.154274695	0.177716345	0.146681335	0.178170269	0.153543079	0.188089999	0.099716192	3.543272368	0.099554376	0.174766977	0.188454397	0.120358243	0.169285688	0.266255605	0.117996885	0.201836315	1.829193235	0.089787633	0.169411296	0.36481318
Clavaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.765445599	0	0	0	0	0	0	0	0	0	0	0	0
Clitocybula	0	0	0.009833325	0	0	0.005777592	0	0	0.03875969	0	0.103362087	0.092520311	0	0.038869581	0.024461441	0.026116906	0.037598901	0.044580203	0.042865386	0.046739418	0.056778331	0.044400592	0.022742779	0.047768865	0.073230269	0.022779043	0.051659779	0.07641196	0.094291278	0.089857105	0	0	0.007391092	0	0	0	0	0	0	0	0.091795754	0.034959479	0.073862063	0.121673808	0.030607783	0.09011666	0.089426836	0.07361714	0.098548952	0.069509752	0.072851939	0.044429086	0.021391028	0.033568312	0.098499334	0.046135283	0.030681905	0.918887458	0	0.02912783	0.058199152	0.028319587	0.047841607	0.035033632	0	0.059363622	0.024619021	0.070268582	0	0.041188585
Clonostachys	0.010879194	0.020477117	0	0.009471192	0.015557664	0.005777592	0.005794582	0.003162805	0.032796661	0	0	0	0	0.052588257	0.037507542	0.042439972	0.029425227	0.04788244	0.041216718	0	0.041748773	0.044400592	0.014620358	0	0.037428804	0.024406118	0.036661778	0.03820598	0.075842985	0	0.013572818	0.00778889	0.007391092	0	0	0.010183003	0	0.028329457	0	0	0.039013196	0.025425075	0	0.050256573	0.050284215	0	0	0.081232706	0.027185918	0.063376538	0	0	0	0.054225734	0	0	0.049858096	0	0.056888215	0	0.047113599	0.056639173	0.029440989	0	0	0.047490898	0.022157119	0	0.039861481	0.020594292
Colletotrichum	0	0	0	0	0.004667299	0.002888796	0	0	0.029815146	0	0.058258631	0.057825194	0.052144116	0.034296689	0.039138305	0.032646132	0.022886288	0.044580203	0.018135356	0.065028755	0.068467987	0.085512251	0.032489685	0.028002438	0.078112286	0.011389522	0.033328889	0.034883721	0.049195449	0.032874551	0.003016182	0	0.005912874	0.006400614	0	0.008728288	0.007436824	0.002982048	0	0	0.032128514	0.031781344	0.036931031	0.071417235	0.052470485	0.036046664	0.041593877	0.071078618	0.108743671	0.03679928	0.059995715	0	0	0.010328711	0.023176314	0	0.009588095	0	0.023703423	0.008322237	0.038799435	0.028319587	0.047841607	0.014013453	0.051918629	0.015830299	0.009847608	0.01561524	0.052318194	0.011768167
Craterellus	0.310834123	0.361274847	0.614582821	0.036306235	0.210028471	0.264324816	0.4360423	0.083814343	2.680381634	0.185075865	3.873259288	3.22375459	2.448290418	2.57911103	3.077249229	3.032825686	3.114169882	2.902666557	3.325364768	3.63348168	3.410039745	3.011017925	2.711264174	3.296051656	3.829129373	3.252521966	2.954606053	3.646179402	3.704007379	3.708249321	0.948589181	0.272611147	0.712501293	0.328031491	0.133830256	0.420412557	0.407537965	1.225621757	0.175890445	0.12295831	3.681009753	3.632607659	3.803896224	3.618473258	3.495846087	3.339231878	3.633225189	3.201076333	3.348965236	3.592018645	3.715448897	3.450659031	3.113922503	3.302605417	3.395329973	3.204627724	2.68083148	0	2.702190196	2.837882823	2.760302636	2.626641651	3.183306959	1.902326233	3.006560627	2.881114453	1.671631502	3.470487196	3.864072349	1.776993233
