class	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G2	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1
subject_id	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
Lactifluus	0.708701801	0.737176206	1.096415753	0.07261247	0.42939154	0.615313507	0.614225699	0.208745157	4.621347645	0.402061362	6.361466614	5.134877266	4.049859707	4.101884031	4.703119649	4.470887812	5.052965409	5.029307356	4.886654027	5.946066776	4.859557129	4.282190429	4.048214692	4.381557924	5.668022783	4.546046209	4.481069191	6.428571429	6.05923952	5.774962742	1.450783453	0.476680064	1.077621251	0.644861907	0.216838895	0.625527334	0.748144512	2.43484225	0.38790125	0.295764585	5.725760184	5.167646591	6.490628751	5.95143628	5.019676432	5.533162931	6.239081607	5.836062245	5.573113127	6.104591732	5.45532462	5.143900874	4.941327466	5.93900896	6.524132337	4.482220172	4.454629132	0	4.290319522	5.417776298	4.367707785	4.378916068	4.824642108	3.103979821	5.092745552	5.085483616	2.685935153	5.683947533	5.608012158	3.55987055
Lauriomyces	0	0	0.021305538	0	0	0	0.020281037	0	0.03875969	0	0.043224145	0.109867869	0.032279691	0.050301811	0.047292119	0.10120301	0.070293598	0	0.057703405	0.071125201	0	0.064134188	0.08447318	0.062593685	0.09275834	0.043931012	0.049993334	0.074750831	0.073793174	0.070132375	0.024129455	0.006231112	0	0.004800461	0	0.007273574	0	0.016401264	0	0	0.107860011	0.05720642	0.073862063	0	0	0.067177874	0.070709592	0.055847486	0	0.071554156	0	0	0.064173084	0.061972267	0.084014138	0	0	0	0.05214753	0.049933422	0.049884987	0.088498708	0	0	0.12271676	0.075193921	0.022157119	0	0.114601759	0.041188585
Lecanicillium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978853243	0	0	0	0	0	0	0	0	0	0	0	0
Leohumicola	0.015541706	0	0.016388875	0	0	0	0	0	0.062611807	0	0.045103456	0.057825194	0.057110223	0.032010243	0.048922881	0.050601505	0.05721572	0.028069017	0.05110873	0.038610823	0.050098527	0.029600395	0.045485558	0.031296842	0.02278275	0.065082981	0.04832689	0.058139535	0.030747156	0.046024371	0.018097091	0	0.014782185	0	0.013552431	0	0	0	0.007852252	0	0.043602983	0.041315748	0.073862063	0.026450828	0.030607783	0.022938786	0.03743449	0.055847486	0.059469195	0.024532854	0	0.069111912	0	0.043897023	0.031867431	0.078075094	0.040270001	0	0.028444107	0.062416778	0.06097054	0.028319587	0.051521731	0.01051009	0	0.031660598	0.056623748	0	0.039861481	0.026478376
Magnaporthe	0.003108341	0.002925302	0.0131111	0	0	0.005777592	0	0	0.017889088	0	0	0	0	0	0	0	0	0	0.004946006	0	0	0	0	0	0	0	0	0	0	0	0.030161818	0.00778889	0	0	0	0.005818859	0.00297473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005752857	0.738990106	0.014222054	0.012483356	0	0	0	0	0	0	0	0	0	0
Metacordyceps	0	0	0.004916663	0	0	0	0.004345937	0	0.014907573	0	0.043224145	0.028912597	0.049661063	0	0.030984491	0.026116906	0.031059962	0.056138034	0.018135356	0.04267512	0.035068969	0.026311462	0.017869326	0.032944045	0.026037429	0.035795639	0.026663112	0.041528239	0.022547914	0	0	0	0.007391092	0.009600922	0	0.004364144	0	0.00745512	0	0	0.020654045	0.02860321	0.055396547	0.055546739	0.013117621	0.037685149	0.047832959	0.022846699	0.030584157	0.040888089	0	0.024682826	0.018335167	0.0232396	0.034764471	0.028390943	0.028764286	0	0	0.02912783	0.047113599	0.031859535	0.025760866	0	0	0	0.017233314	0.039038101	0.039861481	0.020594292
Metapochonia	0.015541706	0.005850605	0.039333301	0	0.018669197	0.008666387	0.024626974	0.004744208	0.11627907	0.006381926	0.129672436	0.167693064	0.111737392	0.086884946	0.091322712	0.166495274	0.127509318	0.117229423	0.125298821	0.140218253	0.158645336	0.101956915	0.121836317	0.110362549	0.122050448	0.082980801	0.14164778	0.117940199	0.139387107	0.195055668	0.034686091	0.014020002	0.042868335	0.027202611	0.015246485	0.014547147	0.019335743	0.035784577	0.004711351	0	0.167527252	0.127125377	0.166189641	0.190445961	0.10056843	0.109778477	0.139339489	0.162465413	0.132531349	0.157419144	0.09427898	0.148096954	0.113066862	0.136855424	0.26073353	0.149052452	0.130398098	0	0.080591637	0.079061252	0.116398304	0.067259018	0.128804328	0.077073991	0.094397508	0.094981795	0.05908565	0.101499063	0.07723162	0.094145337
Metarhizium	0.004662512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023330223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018075245	0	0	0	1.350993845	0	0	0.016628329	0	0	0	0	0	0	0	0.00996537	0
Meyerozyma	0.021758389	0.01170121	0.021305538	0	0.004667299	0.00722199	0.021729683	0	0.104353011	0	0.165379339	0.219735739	0.099322126	0.132613865	0.128830254	0.150172208	0.21251553	0.170065219	0.16486687	0.160539739	0.131926121	0.148001973	0.14620358	0.140012189	0.135069162	0.135047185	0.123316891	0.161129568	0.1578354	0.225738582	0.037702273	0.009346668	0.032520806	0.019201843	0	0.021820721	0.019335743	0.050694817	0.012563603	0.008307994	0.215720023	0.146194184	0.190810328	0.253927948	0.133362484	0.203172106	0.286997754	0.180235067	0.192000544	0.171729975	0.128562246	0.16290665	0.10695514	0.152348491	0.292600962	0.149052452	0.159162384	0	0.127998483	0.158122503	0.119169692	0.123898191	0.147204946	0.035033632	0.075518006	0.134557543	0.054161845	0.132729544	0.174393981	0.064724919
Microascus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01314982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707243514	0	0	0.036028046	0.067259018	0.066242226	2.711603139	0.391749658	0	0.034466629	0.062460962	0	0.13239188
Mollisia	0.013987536	0.01170121	0.011472213	0	0.006223066	0.010110785	0	0	0.095408468	0.007977408	0.088327601	0.089629051	0.072008542	0.075452716	0.050553644	0.08651225	0.091545151	0.066044745	0.108812134	0.079253795	0.083497545	0.062489722	0.061730401	0.069182494	0.053702197	0.074845428	0.096653779	0.073089701	0.116839192	0.116156746	0.018097091	0.006231112	0.014782185	0	0	0.002909429	0.005949459	0.022365361	0	0.011631192	0.068846816	0.08580963	0.141568953	0.100513146	0.063401836	0.054069996	0.116462857	0.088848273	0.088354233	0.083820583	0.107135205	0.088858172	0.064173084	0.067136623	0.084014138	0.049684151	0.072869525	0	0.10429506	0.02912783	0.085913034	0.017699742	0.084642844	0.035033632	0.047198754	0.039575748	0.034466629	0.085883823	0.08719699	0.017652251
Mortierella	2.581477395	3.143237432	5.396856614	0.419889503	1.355072577	2.478586801	3.09865276	0.607258638	29.79129398	1.163106084	18.52060664	23.36426981	27.74563603	30.39829888	26.11177248	27.80960776	22.31249591	25.04912078	18.06611161	17.57402101	21.09648976	22.96497287	28.21566653	21.53387471	20.59723352	22.32671656	24.26676443	16.46345515	17.97683714	18.52809678	8.660966083	2.240084743	7.283182309	3.201907383	0.957140437	2.766867417	3.843350736	6.660404366	1.289339783	1.214628716	19.68330465	20.41951375	18.74557597	18.51028937	21.53038916	16.3946782	17.15955411	20.44017973	19.30370068	17.83947336	22.48125134	22.23428938	27.11771177	22.57081623	21.98563069	27.62083895	29.64830866	0.811301787	29.58187162	22.70306258	23.76465372	17.33158696	18.5772642	9.669282511	23.11794969	19.38815894	11.23365913	20.81511555	19.40755873	11.6475434
Naganishia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.920375702	0	0	0	0	0
Nigrospora	0.020204218	0.014626512	0.029499975	0	0.014001898	0	0	0	0.119260584	0.004786445	0.097724155	0.109867869	0	0.10746296	0.055445932	0.151804515	0.081736742	0.100718237	0.095622785	0.065028755	0.075147791	0.065778655	0.07310179	0.105420943	0.066720911	0.037422714	0.124983336	0.079734219	0.067643743	0	0.036194182	0	0.013303966	0.020801997	0	0.011637718	0.017848378	0.025347409	0	0	0.084911073	0.079453361	0.08309482	0.037031159	0.120244862	0.111416962	0.110223775	0.114233493	0.101947191	0.051110112	0.107135205	0.069111912	0.076396529	0.092958401	0.098499334	0.106466037	0.116974764	1.252226671	0.071110268	0.08322237	0.044342211	0.077878863	0.092003091	0.066563901	0.108557134	0	0.068933258	0.081980012	0.07723162	0
Oidiodendron	0.662076683	0.585060481	1.322582231	0.078926598	0.452728036	0.374099057	0.459220629	0.159721673	5.113297555	0.351005951	4.718949089	4.877555151	6.001539493	5.848728736	6.092529476	6.13420825	5.73464984	5.141583423	5.018547523	4.631266638	5.828128653	5.658608781	5.65807856	6.667874615	5.197721725	5.72730231	5.845887215	5.083056478	4.85395101	4.026036644	1.76145018	0.454871172	1.067273722	0.856082184	0.247331865	0.530970877	0.50124195	1.121250075	0.277969722	0.309057375	4.117039587	5.386937867	4.225525498	4.229487383	5.907302143	6.127932888	4.654354879	4.76480593	4.993713257	4.352537106	4.366830941	5.247568742	4.641853074	4.43101712	4.226780231	5.302008659	5.467132009	0.654332528	5.167346165	4.107023968	6.618074994	4.817869659	5.851396607	3.019899103	5.479775334	5.101313915	2.309264137	5.398969394	6.235830489	2.783171521
Penicillifer	0.018650047	0.040954234	0.03277775	0.011049724	0.024892263	0.023110366	0.014486455	0	0.050685748	0	0.088327601	0.167693064	0.156432349	0.139473203	0.096215	0.142010675	0.129144053	0.112276067	0.065946748	0.125993213	0.090177349	0.116757112	0.144579096	0.128481774	0.099267697	0.112268142	0.164978003	0.079734219	0.077892795	0.092048742	0.039210364	0.00778889	0.035477243	0.04000384	0	0.018911291	0.010411554	0.032802529	0.006281802	0	0.094090648	0.08580963	0.101560336	0.081997567	0.089637079	0.126163324	0.058231428	0.083771228	0.141026948	0.116531055	0.111420613	0.157970084	0.070284806	0.080047512	0.055043745	0.113563773	0.101633811	0	0.161183275	0.054094541	0.166283291	0.099118553	0.077282597	0.042040359	0.151036013	0.102896945	0.068933258	0.078076202	0.089688333	0.044130627
Penicillium	59.74076434	0.778130439	76.94904699	67.308603	88.3613112	2.374590152	1.835433869	82.66940776	5.199761479	78.58065957	4.743380128	4.423627374	5.038114866	4.575178343	4.668873632	4.588413888	4.838815144	4.63799224	8.887972962	4.336605093	4.84285762	4.691662556	4.933558595	5.247986295	5.103336046	5.349821022	5.015997867	5.083056478	4.905196269	4.400806522	1.749385453	55.14066735	1.281615397	63.35328192	72.48009487	0.833551541	6.516145345	1.720641737	79.24178654	81.83872522	4.562248996	5.234387415	4.243991013	4.478125165	5.19895059	5.053086905	4.722984777	4.724189577	4.692969042	6.047348407	4.868223698	5.030359876	4.687690991	4.335476541	4.223883191	4.830009227	4.492981514	2.862484347	5.48497203	5.480193076	5.941856276	22.06449786	9.365914695	41.09795404	5.654410724	15.86987494	44.68106059	6.007963773	5.448566232	45.70756105
Pestalotiopsis	0.009325024	0	0	0	0	0	0	0	0.032796661	0	0.039465524	0.031803857	0.012415266	0.032010243	0	0	0	0	0.032973374	0.040642972	0.021709362	0.024666996	0	0.028002438	0.035801465	0.027660267	0	0.019933555	0.032796966	0.037257824	0	0	0	0	0	0.008728288	0	0.010437168	0	0	0.018359151	0.009534403	0.049241375	0.015870497	0.008745081	0	0.041593877	0.027923743	0.032283277	0.028621663	0	0.034555956	0.02750275	0.025821778	0.03766151	0.024842075	0.011505715	0	0	0.045772304	0.013856941	0.02123969	0.014720495	0	0	0.019787874	0	0.031230481	0.014948056	0
Piskurozyma	0	0.008775907	0.00655555	0	0	0	0.005794582	0	0.008944544	0	0.015034485	0.017347558	0.007449159	0	0.030984491	0	0.019616818	0.024766779	0.024730031	0.038610823	0.016699509	0.019733596	0	0.008236011	0.02278275	0.027660267	0.028329556	0.013289037	0.045095829	0.041641098	0	0	0.008869311	0	0	0	0	0	0	0	0.036718302	0.022246941	0.040008617	0.01851558	0.017490162	0.022938786	0.035354796	0.025385221	0.037380637	0.01839964	0	0.019746261	0.015279306	0.012910889	0.028970392	0.021293207	0.024929048	0	0	0	0.019399717	0.017699742	0.018400618	0	0	0	0	0	0.022422083	0.011768167
Psilocybe	0	0.007313256	0.008194438	0	0.003111533	0.00722199	0	0	0.026833631	0	0.065775873	0.109867869	0.022347478	0.025150905	0.024461441	0.017955373	0.031059962	0.037975729	0.031324705	0.065028755	0.053438429	0.049333991	0.017869326	0.041180056	0.050447518	0.040676863	0.031662445	0.03654485	0.061494312	0.070132375	0.009048545	0.003115556	0.002956437	0	0	0.005818859	0	0.016401264	0	0	0.089500861	0.025425075	0.055396547	0.081997567	0.048097945	0.040962118	0.089426836	0.058386008	0.052672716	0.071554156	0.04713949	0.024682826	0.042782056	0.067136623	0.092705255	0.01774434	0.032599524	0	0.023703423	0.033288948	0.022171106	0.024779638	0.036801237	0.017516816	0	0.035618173	0.014771412	0.023422861	0.049826852	0.023536334
Rhizopus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.080370257	0	0	5.612387892	0.018879502	0	0.204337871	0.031230481	0	0
Russula	1.995555072	2.053562287	3.238441746	0.211523283	1.177715201	1.351956437	2.020860495	0.400094884	13.05903399	0.872728433	15.87453722	14.20765027	12.24890125	11.81406622	13.36899268	12.47082252	14.37095403	13.73730703	14.50333855	14.64366274	15.15814435	13.83982898	12.822054	13.36704607	14.364524	14.0741946	13.60485269	16.45847176	15.77534078	15.49487157	4.111055814	1.335015734	3.427988588	1.848177425	0.57767237	2.157341945	1.988606785	5.322955806	0.951692946	0.802552216	14.64142283	15.08660416	14.37848152	15.51605565	14.29383472	15.77369249	15.5353132	13.68263397	14.52917389	15.1572147	14.51896293	15.18487436	13.51912969	14.6848452	14.8299438	12.50266165	12.29385595	1.164041694	13.25021333	14.12699734	12.9285259	11.90130624	14.49968719	9.094730942	14.72601123	13.57843913	7.181368325	14.75640225	14.41241685	9.211532804
Sagenomella	0.004662512	0	0	0.003157064	0	0	0	0	0.026833631	0	0.005637932	0.034695117	0.014898319	0.006859338	0.030984491	0.029381519	0.027790492	0.042929084	0.028027368	0.050803715	0.030059116	0.021378063	0.034114169	0.01482482	0.032546786	0.034168565	0.036661778	0.026578073	0.018448294	0.026299641	0.009048545	0	0	0.006400614	0	0	0	0.013419216	0	0	0.043602983	0.025425075	0.055396547	0.039676242	0	0.032769695	0.03743449	0.038077831	0.027185918	0.028621663	0.04713949	0.014809695	0.015279306	0.043897023	0.034764471	0.028390943	0.02109381	0	0.028444107	0.041611185	0.041570823	0.031859535	0.025760866	0	0.009439751	0	0.039390433	0.027326671	0.052318194	0.026478376
Sarcodon	0.040408436	0.040954234	0.075388826	0.003157064	0.031115329	0.041887539	0.046356657	0.009488416	0.465116279	0.017550298	0.967844994	0.72281493	0.357559655	0.402414487	0.554459321	0.430928946	0.477342575	0.617518369	0.586926057	0.871791745	0.567783307	0.491695445	0.488969752	0.484277455	0.842961758	0.517409697	0.488268231	0.676079734	1.012606334	1.05417726	0.117631091	0.020251114	0.113822821	0.024002304	0.013552431	0.045096157	0.055032499	0.314606071	0.048683963	0.008307994	1.202524383	0.603845543	1.132551627	1.200867587	0.430695234	0.499737842	0.950420098	0.78440332	0.715329459	1.054912704	0.557103064	0.567704991	0.794523897	0.751413742	1.118257141	0.496841508	0.529262867	0	0.469327771	0.75316245	0.338109359	0.339835038	0.456335333	0.32581278	0.519186293	0.67674529	0.265885423	0.632417239	0.460898378	0.350102971
Sarocladium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.289352546	0	0	0	0	0	0	0	0	0	0	0	0
Scleroderma	0.009325024	0	0.00655555	0	0	0.002888796	0	0	0.017889088	0	0.024431039	0.054933935	0.022347478	0.032010243	0.03587678	0.024484599	0.040868371	0.039626847	0.064298079	0.105671727	0.045088674	0.064134188	0.014620358	0.052710471	0.055329536	0.047185161	0.064991334	0.061461794	0.077892795	0.059174191	0	0	0	0	0	0	0.005949459	0.013419216	0.012563603	0.004984796	0.048192771	0.076275226	0.036931031	0.063481987	0.059029296	0.049154542	0.097745612	0.058386008	0.096849832	0.049065707	0.051424898	0.059238782	0.015279306	0.033568312	0.040558549	0.070977358	0.011505715	0	0.028444107	0.062416778	0.049884987	0.031859535	0.051521731	0.063060538	0.037759003	0.027703024	0.027080923	0.050749532	0.124567129	0
Sebacina	0	0.067281955	0.086861039	0	0	0.038998743	0.089816022	0.01739543	0.125223614	0	0.266862115	0.213953219	0.153949296	0.132613865	0.164707033	0.146907595	0.235401818	0.146949558	0.263786992	0.270275763	0.207073912	0.22200296	0.133207707	0.225666705	0.20829943	0.216400911	0.246633782	0.282392027	0.286973455	0.262996406	0.051275091	0.037386672	0.039911898	0.048004608	0.013552431	0	0.047595675	0.067096082	0.025127206	0	0.245553643	0.216113142	0.160034469	0.272443527	0.229558373	0.375213003	0.276599285	0.34270048	0.193699664	0.269861389	0.261409899	0	0.116122723	0.167841558	0.182513471	0.195187735	0.12464524	0	0.175405329	0.120672437	0.149654962	0.159297674	0.257608656	0.126121076	0.132156511	0.134557543	0.120633201	0.175671455	0.161937268	0.076493086
Sporothrix	0.046625119	0.020477117	0.049166626	0	0	0	0.01303781	0	0.083482409	0.006381926	0.259344872	0.329603608	0.193678147	0.070879824	0.194060762	0.235052152	0.197802916	0.175018575	0.273679004	0.339368815	0.237133028	0.202269364	0.110464927	0.220725098	0.250610252	0.209892613	0.169977336	0.27076412	0.330019473	0.199438941	0.024129455	0.006231112	0.013303966	0.01760169	0	0.026184865	0.025285202	0.058149937	0.010993153	0.008307994	0.247848537	0.104878436	0.34161204	0.320055018	0.262352427	0.14910211	0.366026121	0.271621862	0.309239814	0.206484851	0.154274695	0.054302217	0.232245447	0.286621737	0.301292079	0.092270566	0.159162384	0	0.056888215	0.249667111	0.224482443	0.212396899	0.276009274	0.122617713	0.202954642	0.19787874	0.096014181	0.230324797	0.122075787	0.047072668
Talaromyces	0.065275166	0.074595211	0.049166626	0.004735596	0.034226862	0.015888377	0.057945821	0.006325611	0.250447227	0.028718669	0.293172464	0.396102582	0.278101954	0.267514176	0.306583389	0.332990549	0.310599621	0.348386032	0.408869838	0.41862261	0.442536989	0.430850189	0.329770298	0.354148479	0.384052075	0.410022779	0.426609785	0.485049834	0.457107718	0.449285526	0.159857636	0.049848896	0.091649544	0.027202611	0.015246485	0.049460301	0.035696756	0.087970418	0.029838558	0.021600784	0.419965577	0.340060385	0.369310313	0.394117336	0.376038478	0.493183904	0.415938774	0.434087274	0.312638053	0.345504355	0.407113778	0.429481167	0.284195086	0.291786092	0.228866099	0.308751508	0.249290481	0	0.20859012	0.295439414	0.232796608	0.300895607	0.338571376	0.234725336	0.344550904	0.273072661	0.160023634	0.292785759	0.465881063	0.238305384
Thermoascus	0	0	0	0	0	0.021665969	0	0	0	0	0	0	0	0	0.003261525	0	0	0.016511186	0.48141126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009232758	0	0	0	0	0	0.011893839	0	0	0	0	0	0	0	0	0.440924884	0	0	0	0.007079897	0	0	0	0	0	0	0	0
Thermomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018135356	0	0	0	0	0	0.004882018	0	0	0	0	0.01314982	0	0	0	0	0	0	0	0	0	0	0.009179575	0	0.012310344	0	0	0	0.008318775	0	0.006796479	0	0	0	0	0	0	0	0	0.800719589	0	0	0	0	0	0	0	0	0	0	0	0
Tolypocladium	0.379217631	0.411004988	0.634249471	0.091554854	0.270703362	0.176216544	0.347674924	0.086977149	1.848539058	0.194648755	2.02401759	2.038338104	2.443324312	1.991494421	2.152606774	2.102410917	2.33440136	2.189383307	2.154809991	2.099209494	2.411409105	2.499588883	2.173559895	2.533397025	2.216436127	2.642369021	2.489668044	2.171096346	2.156400533	2.036030508	0.671100454	0.260148924	0.570592322	0.484846545	0.150770795	0.340403247	0.31978344	0.635176239	0.141340536	0.142897496	2.150315548	2.13570634	2.262025667	2.198063799	2.225623087	2.377441342	2.000665502	2.208514203	2.24113909	1.870630085	2.104135419	2.063484228	1.882410463	1.835928422	1.787473202	2.249982256	2.120886707	0	2.607376505	2.047270306	2.452678547	1.83015328	2.241195304	1.387331839	2.0909048	1.685926864	1.147246363	2.150999375	2.234734298	1.147396293
Tomentella	0.009325024	0	0	0	0	0	0	0	0.023852117	0	0.013155175	0.034695117	0.024830532	0.01143223	0.016307627	0.021219986	0.037598901	0.013208949	0.047811392	0.056900161	0.030059116	0.021378063	0.040612106	0.028002438	0.019528072	0.034168565	0.024996667	0.059800664	0.040996208	0.074515648	0.009048545	0	0	0	0	0	0	0	0	0	0.043602983	0.02860321	0.043086203	0.042321325	0.024048972	0.036046664	0.051992347	0.033000787	0.047575356	0.047021303	0.012856225	0.034555956	0.021391028	0.033568312	0	0.01774434	0.024929048	0	0	0.037450067	0.024942494	0	0.018400618	0.014013453	0.014159626	0	0.01230951	0.031230481	0.029896111	0.014710209
Trichoderma	1.96447166	1.708376603	4.105413245	0.178374112	1.297509218	1.201739055	1.634072143	0.528188503	15.60822898	1.322654243	14.98938189	13.03669009	15.3154719	15.28260472	15.56889157	14.16189217	15.26515399	15.47263271	13.54546204	13.87551058	13.64349888	13.98618648	15.21167029	14.66174702	13.8551668	15.03254149	13.67984269	14.24252492	13.40575997	12.67861839	5.043055995	1.883353584	4.400656329	2.513841329	0.916483144	1.841668849	2.193863133	4.510347707	0.766379798	1.036837645	13.59495123	15.80804068	12.86123165	13.04819341	15.21206821	14.17616988	13.35163464	14.02279593	13.67281748	13.74453122	15.32890508	15.03677741	16.35191297	15.7667777	13.74065705	15.56888353	15.64968935	1.257517769	15.15122784	15.76231691	14.84909791	13.50490283	15.10322747	8.744394619	15.78326332	14.93984486	7.991334105	15.75968145	13.96895787	9.38805531
Umbelopsis	0.015541706	0.026327722	0.055722176	0.004735596	0.02178073	0.02744356	0.030421556	0.007907014	0.38163387	0.006381926	0.47734491	0.494405412	0.372457974	0.329248217	0.23482983	0.272595204	0.457725757	0.282341286	0.448437886	0.571033754	0.330650279	0.419338925	0.359011014	0.349206872	0.343368592	0.453953791	0.294960672	0.486710963	0.664138567	0.572017182	0.102550182	0.012462224	0.090171326	0.020801997	0	0.064007448	0.026772567	0.093934514	0.021986306	0.008307994	0.369477912	0.527570316	0.630905118	0.703592022	0.498469611	0.444029362	0.557357957	0.657477217	0.581098991	0.57243325	0.308549389	0.251764822	0.342256448	0.389908849	0.761921316	0.241323018	0.429546675	0	0.265478335	0.237183755	0.3519663	0.205317002	0.264968903	0.234725336	0.302072025	0.368054456	0.132942712	0.242036227	0.269064999	0.144160047
unidentified	1.279082418	4.063245038	2.225609256	0.074191002	0.88056381	0.91574827	1.202375778	0.297303708	8.556946929	0.59990108	10.72334668	11.59684274	9.832890522	9.37900128	9.218701587	9.276398478	10.19747597	9.513745562	11.0510263	12.62980349	11.52934104	11.18072685	9.024009877	11.45629149	11.27908869	10.5043931	10.64358086	11.79568106	11.96679307	12.90874025	3.096110634	0.774215659	2.119765259	1.340928729	0.291377266	1.332518693	1.078339505	3.095365897	0.680005026	0.405430105	12.10786001	10.90100111	12.784292	12.66201132	10.7192829	11.8888452	12.3492222	12.44637372	12.08074218	12.14580693	10.48210842	10.63336131	9.332599927	10.91744778	11.16229214	9.32642487	8.736672547	10.6598	8.082867166	12.07972703	10.89986974	8.878190379	10.44419092	5.591367713	9.232076273	8.995567516	4.877027992	10.42317302	11.51249408	5.278022948
Verticillium	0.029529242	0.052655443	0.077027714	0.00789266	0.042005694	0.041887539	0.033318847	0	0.238521169	0	0.25182763	0.277560933	0.355076602	0.27665996	0.293537287	0.360739761	0.253383901	0.250970032	0.158272195	0.2885651	0.243812832	0.332182207	0.26154196	0.291554794	0.266883645	0.239179954	0.313291561	0.23255814	0.239827816	0.28710441	0.095009727	0.020251114	0.075389141	0.056005377	0.018634593	0.062552733	0.052057769	0.043239697	0.026697657	0.01329279	0.250143431	0.197044335	0.280060321	0.288314024	0.279842589	0.306396644	0.253722652	0.291930038	0.246372379	0.186040806	0.257124491	0.306067039	0.244468891	0.265964314	0.312880236	0.330044716	0.226279052	0	0.298663127	0.174766977	0.299309924	0.212396899	0.261288779	0.112107623	0.29735215	0.19787874	0.150176026	0.292785759	0.259099629	0.150044131
Wickerhamomyces	0.122779479	0.165279586	0.303194192	0.023677979	0.07467679	0.121329424	0.140518615	0.022139638	2.242098986	0.059032819	1.781586514	1.945817793	1.584187917	1.776568502	1.880269402	1.635571226	1.687046361	1.9318088	1.581073283	2.084984454	1.574763702	1.762867949	1.951005556	1.571430925	1.943043124	1.550602018	1.688108252	1.739202658	2.002664754	2.213553081	0.535372272	0.105928903	0.397640763	0.123211828	0.050821616	0.197841203	0.193357429	0.676924912	0.094227024	0.066463952	2.285714286	1.840139838	2.286646355	2.335608105	1.724967206	1.695831695	2.100490808	2.068895489	2.078023584	2.238622889	2.018427255	1.836402231	2.481359247	2.27489865	2.532012283	2.22514018	2.134310041	0	1.754053285	2.509154461	1.668375689	1.299161032	1.383726493	0.812780269	1.949308538	1.769035935	0.817351486	1.893347908	1.639303421	1.212121212
Xylogone	0.018650047	0.010238558	0.022944425	0	0	0.008666387	0.004345937	0	0.07751938	0.00957289	0.093965533	0.109867869	0.139050977	0.089171392	0.089691949	0.119158383	0.10135356	0.059440271	0.128596159	0.148346847	0.126916269	0.139779642	0.097469054	0.084007314	0.13995118	0.10087862	0.103319557	0.124584718	0.159885211	0.120540019	0.025637545	0.012462224	0.022173277	0.006400614	0	0.007273574	0.010411554	0.028329457	0	0.003323198	0.169822146	0.088987764	0.092327578	0.119028726	0.091823349	0.117970901	0.110223775	0.116772015	0.11554015	0.145152717	0.128562246	0.128350694	0.064173084	0.092958401	0.052146706	0.08517283	0.067116668	0	0.071110268	0.116511318	0.124712468	0.088498708	0.103043462	0.031530269	0.051918629	0.039575748	0.027080923	0.070268582	0.14449787	0.061782877
